run,bun,eligible,suite,fixture,metric,pairs,median_A,median_B,median_change_pct,median_abs_pair_pct,p90_abs_pair_pct,A_mad_pct,B_mad_pct,paired_changes_pct
aa-140-1,1.4.0,False,http,static-listeners,rps,5,27029.119440898055,25118.210575363726,-7.069815462219287,19.412072869966956,34.23584581598389,10.459067635754513,2.163041846355594,"[-1.2194423110426178, 34.23584581598389, -4.823519691603351, -20.514202789317704, -19.412072869966956]"
aa-140-1,1.4.0,False,http,static-listeners,p50,5,1.1770619999988412,1.1992429999991145,1.8844376931967277,23.268058501480194,32.42792720654002,10.914463299280616,5.096965335650886,"[1.8844376931967277, -28.496162564608664, -5.967544785125655, 32.42792720654002, 23.268058501480194]"
aa-140-1,1.4.0,False,http,static-listeners,p95,5,2.095902000000933,2.216045999997732,5.732329087750543,18.170254734581825,31.65516094118903,9.825554820852444,0.8653701232720632,"[-5.653413184428214, -26.41962535295457, 6.534208844292633, 31.65516094118903, 18.170254734581825]"
aa-140-1,1.4.0,False,http,static-listeners,p99,5,2.954348999999638,3.166455999999016,7.179483534254216,30.508094299830258,49.409282165058265,17.477183636767155,4.886819839008519,"[-3.0629082752914982, -49.409282165058265, 2.7266588948595016, 31.541262115709223, 30.508094299830258]"
aa-140-1,1.4.0,False,http,middleware-listeners,rps,5,21362.226849171428,21985.30226266002,2.9167156490184087,7.712390618768494,26.54779301914745,12.539032064926635,5.418315170360892,"[26.54779301914745, 7.083248957991373, -7.712390618768494, -5.850128974157299, -8.686865049983572]"
aa-140-1,1.4.0,False,http,middleware-listeners,p50,5,1.5125299999999697,1.4646609999981592,-3.1648297886198273,6.613951458846912,15.566317932202978,11.277065578737027,3.835358489206817,"[-15.566317932202978, -5.044308069251901, 9.143335759838278, 5.510443966114642, 6.613951458846912]"
aa-140-1,1.4.0,False,http,middleware-listeners,p95,5,2.718135999999504,2.7933069999999134,2.7655349107043703,11.650291292590342,22.247512418248526,12.093728937873385,6.311479547319374,"[-22.247512418248526, -11.650291292590342, 12.201777116236624, 10.524346575777566, 9.344124061480352]"
aa-140-1,1.4.0,False,http,middleware-listeners,p99,5,3.7604470000005676,3.527621999997791,-6.191418201153787,10.464877882551438,21.898985761821177,12.711387768549232,6.161317737514002,"[-21.898985761821177, -21.32434462066872, 4.872828070361179, 10.464877882551438, 6.768503850754581]"
aa-140-2,1.4.0,False,router,10/static-shallow,nsPerOp,5,302.67435000000006,309.62215,2.2954703627842576,2.59632071470981,2.9775276658761007,0.3813207164730169,1.546355775902973,"[2.59632071470981, 1.316342709831031, -2.9775276658761007, 2.687037309176521, 0.7136184483422348]"
aa-140-2,1.4.0,False,router,10/static-deep,nsPerOp,5,528.12162,536.75405,1.6345534197217626,4.777192713337186,8.266231576213844,3.1352967522897672,3.324928801189312,"[2.450064437808841, 4.629742098017919, -8.266231576213844, 8.229462230763485, 4.777192713337186]"
aa-140-2,1.4.0,False,router,10/param,nsPerOp,5,603.8637600000002,645.49014,6.8933396499898825,6.894218987408629,15.520292773292677,5.567388246646881,6.359970115112842,"[6.894218987408629, -1.8348674220474148, -15.520292773292677, 1.100833411194646, 15.388733926426145]"
aa-140-2,1.4.0,False,router,10/param-encoded,nsPerOp,5,664.5691299999999,682.8855099999998,2.756128621261711,5.124528505531933,17.114803789495745,5.327367523074725,1.65659247916982,"[-1.1979740430156371, -2.441187852957316, -16.787744865609366, 5.124528505531933, 17.114803789495745]"
aa-140-2,1.4.0,False,router,10/wildcard,nsPerOp,5,654.0941200000003,664.5307700000001,1.5955884147070165,5.401495686162838,15.449420444378514,4.788060164797085,2.985204131330168,"[0.8773279863047989, 1.5955884147070165, -15.449420444378514, 5.401495686162838, 6.380332437505221]"
aa-140-2,1.4.0,False,router,10/miss,nsPerOp,5,300.29089000000056,285.6415899999996,-4.878369770058932,8.845286648556183,23.32377865531,5.05513170912397,3.878223755861478,"[-7.687972046279635, -23.32377865531, -8.845286648556183, -5.450856489857891, 9.36938318339189]"
aa-140-2,1.4.0,False,router,10/method-miss,nsPerOp,5,347.45947,348.30223999999987,0.24255203060081776,12.793158019194873,27.95049862540162,7.267800184004323,5.932999454726508,"[6.189942095980316, -7.558394294062076, 27.95049862540162, -21.572316191171947, 12.793158019194873]"
aa-140-2,1.4.0,False,router,10/registration,nsPerOp,5,10895.990000000213,12270.35999999998,12.613539476447212,20.517008061059517,83.20372907831084,2.6674033291098573,20.02467735257763,"[83.20372907831084, 74.86253914244205, 9.687725436528382, 1.0930076356053142, 20.517008061059517]"
